"attribute","value","url","name"
"Home Town","Zainab Camp","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Store","Ababael Timsar-Dadisun's Yurt","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Level","25","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Training","Mercantile (100)Armorer (68)Long Blade (58)","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Other","Repairs","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Gold","9000","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Buys","Armor
 Clothing
 Weapons
 Ingredients
 Potions


 Lights
 Repair Tools
 Misc. Items
 Magic Items","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Armor
 Clothing
 Weapons
 Ingredients
 Potions","Lights
 Repair Tools
 Misc. Items
 Magic Items","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Health","236","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Alarm","90","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Essential","Unofficially","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Faction(s)","Ashlanders Clanholder(Clanholder)","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Class","Trader Service","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Mercantile","Master (100)","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Magicka","45","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Ababael_Timsar-Dadisun","Ababael Timsar-Dadisun (ababael timsar-dadisun)"
"Location","Aidanat Camp, Abassel's Yurt","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Level","13","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Health","132","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Class","Barbarian","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Magicka","100","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Abassel_Asserbassalit","Abassel Asserbassalit (Abassel Asserbassalit)"
"Location","Bal Fell","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Race","Nord","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Level","14","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Health","149","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Faction(s)","House Telvanni Hireling(Hireling)","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Class","Barbarian","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Magicka","80","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Fight","70","https://en.uesp.net/wiki/Morrowind:Abbard_the_Wild","Abbard the Wild (abbard the wild)"
"Home Town","Gnisis","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Location","Outside","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Level","5","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Health","75","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Class","Farmer","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Magicka","86","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Fight","30","https://en.uesp.net/wiki/Morrowind:Abishpulu_Shand","Abishpulu Shand (abishpulu shand)"
"Location","Mila-Nipal","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Level","7","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Training","Athletics (49)Long Blade (49)Block (44)","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Health","90","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Alarm","0","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Gender","Male","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Class","Scout","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Magicka","94","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Fight","50","https://en.uesp.net/wiki/Morrowind:Adairan_Lalansour","Adairan Lalansour (adairan lalansour)"
"Home City","Vivec","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Location","Waistworks, St. Olms Canton","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Race","Dark Elf","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Level","3","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
"Health","50","https://en.uesp.net/wiki/Morrowind:Adaves_Therayn","Adaves Therayn (adaves therayn)"
