"attribute","value","url","name"
"Home City","Whiterun","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Location","Temple of Kynareth","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Race","Nord","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Level","4","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"RefID","000D3E7A","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Health","75","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Stamina","70","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Primary Skills","Speech, Two-handed","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Morality","No Crime","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Faction(s)","CrimeFactionWhiterun; TownWhiterunFaction; WhiterunTempleofKynarethFaction","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Gender","Male","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Class","Priest","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"BaseID","000D3E79","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Magicka","50","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Aggression","Unaggressive","https://en.uesp.net/wiki/Skyrim:Acolyte_Jenssen","Acolyte Jenssen(RefID: 000D3E7A)"
"Home City","Solitude","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"House","Addvar's House","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Store","Stall in Solitude's marketplace","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Race","Nord","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Level","6","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"RefID","000198D4","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Gold","50 (+1000 Master Trader)","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Sells","Random drinks, 2 Salmon Meat, 6 Salmon Steak, Salt Pile, 20 Seared Slaughterfish","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
"Buys","Innkeeper (Food, Raw Food)","https://en.uesp.net/wiki/Skyrim:Addvar","Addvar(RefID: 000198D4)"
